route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40010011,22359,16638431,AG. NAPA (W/PARK),40010011,0
40140011,22359,16638432,AGIA NAPA,40140011,0
40010011,22359,16638433,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638434,PARALIMNI,40000011,0
40000011,22359,16638435,PARALIMNI,40000011,0
40000011,22359,16638436,PARALIMNI,40000011,0
40010011,22359,16638437,AG. NAPA (W/PARK),40010011,0
40050011,22359,16638438,DERYNEIA,40050011,0
40000011,22359,16638439,PARALIMNI,40000011,0
40010011,22359,16638440,AG. NAPA (W/PARK),40010011,0
40150011,22359,16638441,LARNAKA,40150011,0
40010011,22359,16638442,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638443,PARALIMNI,40000011,0
40090011,22359,16638444,AGIA NAPA,40090011,0
40000011,22359,16638445,PARALIMNI,40000011,0
40010011,22359,16638446,AG. NAPA (W/PARK),40010011,0
40120011,22359,16638447,KONNOS,40120011,0
40110011,22359,16638448,KONNOS,40110011,0
40080011,22359,16638449,KONNOS,40080011,0
40010011,22359,16638450,AG. NAPA (W/PARK),40010011,0
40220011,22359,16638451,EAST CIRCLE LINE,40220011,0
40000011,22359,16638452,PARALIMNI,40000011,0
40050011,22359,16638453,DERYNEIA,40050011,0
40040011,22359,16638454,DERYNEIA,40040011,0
40030011,22359,16638455,CIRCLE LINE,40030011,0
40170011,22359,16638456,LARNAKA,40170011,0
40150011,22359,16638457,LARNAKA,40150011,0
40000011,22359,16638458,PARALIMNI,40000011,0
40010011,22359,16638459,AG. NAPA (W/PARK),40010011,0
40160011,22359,16638460,LARNAKA,40160011,0
40010011,22359,16638461,AG. NAPA (W/PARK),40010011,0
40020011,22359,16638462,WEST CIRCLE LINE,40020011,0
40020011,22359,16638463,WEST CIRCLE LINE,40020011,0
40000011,22359,16638464,PARALIMNI,40000011,0
40090012,22359,16638465,E.A.C. DHEKELIA,40090012,1
40090011,22359,16638466,AGIA NAPA,40090011,0
40090012,22359,16638467,E.A.C. DHEKELIA,40090012,1
40010011,22359,16638468,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638469,AG. NAPA (W/PARK),40010011,0
40040011,22359,16638470,DERYNEIA,40040011,0
40030011,22359,16638471,CIRCLE LINE,40030011,0
40030011,22359,16638472,CIRCLE LINE,40030011,0
40030011,22359,16638473,CIRCLE LINE,40030011,0
40030011,22359,16638474,CIRCLE LINE,40030011,0
40000011,22359,16638475,PARALIMNI,40000011,0
40010011,22359,16638476,AG. NAPA (W/PARK),40010011,0
40180012,22359,16638477,PARALIMNI,40180012,1
40130012,22359,16638478,STROVILIA,40130012,1
40140012,22359,16638479,DERYNEIA,40140012,1
40090012,22359,16638480,E.A.C. DHEKELIA,40090012,1
